#ID I L O Z T J S Perfect
636 0 2 0 0 3 1 4 0
637 4 2 0 0 0 1 3 0
638 0 2 4 0 0 1 3 0
639 0 2 0 4 0 1 3 0
640 0 2 0 0 4 1 3 1
641 3 4 2 0 0 1 0 1
642 3 0 2 4 0 1 0 1
643 3 0 2 0 4 1 0 1
644 3 0 2 0 0 1 4 1
645 4 3 2 0 0 1 0 1
646 0 3 2 4 0 1 0 0
647 0 3 2 0 4 1 0 1
648 0 3 2 0 0 1 4 0
649 4 0 2 3 0 1 0 1
650 0 4 2 3 0 1 0 0
651 0 0 2 3 4 1 0 1
652 0 0 2 3 0 1 4 0
653 4 0 2 0 3 1 0 1
654 0 4 2 0 3 1 0 1
655 0 0 2 4 3 1 0 1
656 0 0 2 0 3 1 4 1
657 4 0 2 0 0 1 3 1
658 0 4 2 0 0 1 3 0
659 0 0 2 4 0 1 3 0
660 0 0 2 0 4 1 3 1
661 3 4 0 2 0 1 0 1
662 3 0 4 2 0 1 0 0
663 3 0 0 2 4 1 0 1
664 3 0 0 2 0 1 4 1
665 4 3 0 2 0 1 0 1
666 0 3 4 2 0 1 0 0
667 0 3 0 2 4 1 0 0
668 0 3 0 2 0 1 4 1
669 4 0 3 2 0 1 0 0
670 0 4 3 2 0 1 0 0
671 0 0 3 2 4 1 0 0
672 0 0 3 2 0 1 4 1
673 4 0 0 2 3 1 0 1
674 0 4 0 2 3 1 0 0
675 0 0 4 2 3 1 0 0
676 0 0 0 2 3 1 4 1
677 4 0 0 2 0 1 3 1
678 0 4 0 2 0 1 3 1
679 0 0 4 2 0 1 3 1
680 0 0 0 2 4 1 3 1
681 3 4 0 0 2 1 0 1
682 3 0 4 0 2 1 0 1
683 3 0 0 4 2 1 0 1
684 3 0 0 0 2 1 4 1
685 4 3 0 0 2 1 0 1
686 0 3 4 0 2 1 0 1
687 0 3 0 4 2 1 0 1
688 0 3 0 0 2 1 4 1
689 4 0 3 0 2 1 0 1
690 0 4 3 0 2 1 0 1
691 0 0 3 4 2 1 0 0
692 0 0 3 0 2 1 4 1
693 4 0 0 3 2 1 0 1
694 0 4 0 3 2 1 0 1
695 0 0 4 3 2 1 0 0
696 0 0 0 3 2 1 4 1
697 4 0 0 0 2 1 3 1
698 0 4 0 0 2 1 3 1
699 0 0 4 0 2 1 3 1
700 0 0 0 4 2 1 3 1
701 3 4 0 0 0 1 2 1
702 3 0 4 0 0 1 2 1
703 3 0 0 4 0 1 2 1
704 3 0 0 0 4 1 2 1
705 4 3 0 0 0 1 2 1
706 0 3 4 0 0 1 2 0
707 0 3 0 4 0 1 2 0
708 0 3 0 0 4 1 2 1
709 4 0 3 0 0 1 2 1
710 0 4 3 0 0 1 2 0
711 0 0 3 4 0 1 2 0
712 0 0 3 0 4 1 2 1
713 4 0 0 3 0 1 2 1
714 0 4 0 3 0 1 2 0
715 0 0 4 3 0 1 2 0
716 0 0 0 3 4 1 2 1
717 4 0 0 0 3 1 2 1
718 0 4 0 0 3 1 2 1
719 0 0 4 0 3 1 2 1
720 0 0 0 4 3 1 2 1
721 2 3 4 0 0 0 1 0
722 2 3 0 4 0 0 1 0
723 2 3 0 0 4 0 1 0
724 2 3 0 0 0 4 1 1
725 2 4 3 0 0 0 1 0
726 2 0 3 4 0 0 1 0
727 2 0 3 0 4 0 1 0
728 2 0 3 0 0 4 1 1
729 2 4 0 3 0 0 1 1
730 2 0 4 3 0 0 1 0
731 2 0 0 3 4 0 1 0
732 2 0 0 3 0 4 1 1
733 2 4 0 0 3 0 1 1
734 2 0 4 0 3 0 1 1
735 2 0 0 4 3 0 1 1
736 2 0 0 0 3 4 1 1
737 2 4 0 0 0 3 1 1
